id,name,Eq,position,V_rate,P_rate,volt_n,node,P,Q,Ue,Ang,off,P_meas,Q_meas,Ue_meas,Ang_meas,P_max,P_min,Q_max,Q_min,pf,nd,bs,island,type,volt,base_value,Interval 1,Interval 10,Interval 11,Interval 12,Interval 13,Interval 14,Interval 15,Interval 16,Interval 17,Interval 18,Interval 19,Interval 2,Interval 20,Interval 21,Interval 22,Interval 23,Interval 24,Interval 25,Interval 26,Interval 27,Interval 28,Interval 29,Interval 3,Interval 30,Interval 31,Interval 32,Interval 33,Interval 34,Interval 35,Interval 36,Interval 37,Interval 38,Interval 39,Interval 4,Interval 40,Interval 41,Interval 42,Interval 43,Interval 44,Interval 45,Interval 46,Interval 47,Interval 48,Interval 49,Interval 5,Interval 50,Interval 51,Interval 52,Interval 53,Interval 54,Interval 55,Interval 56,Interval 57,Interval 58,Interval 59,Interval 6,Interval 60,Interval 61,Interval 62,Interval 63,Interval 64,Interval 65,Interval 66,Interval 67,Interval 68,Interval 69,Interval 7,Interval 70,Interval 71,Interval 72,Interval 73,Interval 74,Interval 75,Interval 76,Interval 77,Interval 78,Interval 79,Interval 8,Interval 80,Interval 81,Interval 82,Interval 83,Interval 84,Interval 85,Interval 86,Interval 87,Interval 88,Interval 89,Interval 9,Interval 90,Interval 91,Interval 92,Interval 93,Interval 94,Interval 95,Interval 96,Unittype,bid1,bid10,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9,发电占比,电厂,电量上限,电量下限,结束时段,计划单元,计划单元.1,起始时段
11,向家坝电厂.20kV.7#机组,0,0,0,833.3,500,国调.向家坝.20.284,717.102,120.144,19.401,-10.237,0,717.51,100.94,22.62,0,750,0,83.33,-83.33,1,2367,284,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
12,向家坝电厂.20kV.8#机组,0,0,0,833.3,500,国调.向家坝.20.285,717.486,92.7,19.27,-10.157,0,718.54,71.56,22.46,0,750,0,83.33,-83.33,1,2369,285,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
13,锦东厂.22kV.1#机组,0,0,0,667,500,国调.锦东厂.22.268,598.074,211.585,20.428,9.312,0,599.1,211.86,20.66,0,600,0,291,-291,1,2303,268,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
14,锦东厂.22kV.2#机组,0,0,0,667,500,国调.锦东厂.22.269,597.768,156.686,20.138,9.357,0,598.6,151.7,20.56,0,600,0,291,-291,1,2305,269,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
15,锦东厂.22kV.3#机组,0,0,0,667,500,国调.锦东厂.22.270,598.749,190.05,20.312,9.31,0,599.7,185.4,20.66,0,600,0,291,-291,1,2307,270,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
16,锦东厂.22kV.4#机组,0,0,0,667,500,国调.锦东厂.22.271,518.936,152.175,20.177,8.183,0,519.8,148.1,20.61,0,600,0,291,-291,1,2309,271,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
17,锦东厂.22kV.5#机组,0,0,0,667,500,国调.锦东厂.22.nd2311,0,0,0,0,1,0.1,1.2,0,0,600,0,291,-291,1,2311,272,-1,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
18,锦东厂.22kV.6#机组,0,0,0,667,500,国调.锦东厂.22.273,598.662,174.112,22.165,7.816,0,599.9,172.2,20.66,0,600,0,291,-291,1,2313,273,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19,锦东厂.22kV.7#机组,0,0,0,667,500,国调.锦东厂.22.274,579.992,152.608,22.072,7.605,0,581.1,150.2,20.56,0,600,0,291,-291,1,2315,274,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
20,锦东厂.22kV.8#机组,0,0,0,667,500,国调.锦东厂.22.275,597.984,147.566,22.037,7.857,0,599.3,145.7,20.56,0,600,0,291,-291,1,2317,275,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
